id,t-search,t-entry,e-entry,t-cat,t-syn,t-sample,t-ant,t-def,e-related,t-num,notes
28,สิทธิและเสรีภาพขั้นพื้นฐาน,สิทธิและเสรีภาพขั้นพื้นฐาน,fundamental rights and freedoms,N,,สิทธิและเสรีภาพขั้นพื้นฐาน เป็นสิทธิที่ติดตัวมนุษย์มาแต่กำเนิด ไม่มีใครพรากจากตัวมนุษย์ได้,,,,,
29,โลกาภิวัตน์,โลกาภิวัตน์,globalization,N,,ทุกวันนี้มีการพูดถึงโลกาภิวัตน์กันอย่างกว้างขวาง,,สังคมโลกในปัจจุบันที่มีการรวมตัวเป็นหนึ่งเดียวกันเพิ่มมากขึ้น เพราะผลสืบเนื่องมาจากความก้าวหน้าหรือการเปลี่ยนแปลงในเทคโนโลยีด้านการติดต่อสื่อสาร,,,(บาลี)
30,คุ้มครองสิทธิ์,คุ้มครองสิทธิ์,guard the rights,V,"รักษาสิทธิ์, ป้องกันสิทธิ์",กรมทรัพย์สินทางปัญญาเสริมสร้างความรู้ความเข้าใจในการปกป้องและ คุ้มครองสิทธิ์ เพื่อสร้างวินัยทางการค้าแก่ผู้ประกอบการ,"ละเมิดสิทธิ์, รุกรานสิทธิ์",,,,
31,เจตนาบริสุทธิ์,เจตนาบริสุทธิ์,honest intention,N,เจตนาดี,การสร้างพระด้วยวัตถุประสงค์ดี เจตนาบริสุทธิ์เป็นส่วนหนึ่งของอานิสงส์ทำให้เกิดผลอัศจรรย์แก่ผู้ที่มีไว้ครอบครอง,เจตนาร้าย,,,,
32,รายบุคคล,รายบุคคล,individual,ADJ,รายตัว,ปัจจุบัน สถานศึกษาต่างๆ มีการแจ้งผลการเรียนเป็นรายบุคคลให้กับนักศึกษาผ่านทางอินเตอร์เน็ต,,,,,
33,ระหว่างชาติ,ระหว่างชาติ,international,ADJ,ระหว่างประเทศ,ประเทศไทย-จีนได้จัดการอบรมแลกเปลี่ยนความรู้ระหว่างชาติขึ้น ที่ศูนย์การประชุมแห่งชาติสิริกิติ์,,เกี่ยวกับความสัมพันธ์ของชาติตั้งแต่ 2 ชาติขึ้นไป,,,
34,ระหว่างประเทศ,ระหว่างประเทศ,international,ADJ,ระหว่างชาติ,ปัญหาเกี่ยวกับความสัมพันธ์ระหว่างประเทศที่เป็นปัญหายุ่งยากปัญหาหนึ่งคือ ปัญหาคนต่างด้าว,,เกี่ยวกับความสัมพันธ์ของประเทศตั้งแต่ 2 ประเทศขึ้นไป,,,
35,ยาฉีด,ยาฉีด,intravenous drug,N,,การคุมกำเนิดมีหลายวิธี เช่น ยาเม็ด ยาฉีด ห่วงอนามัย ถุงยางอนามัย ยาฝังใต้ผิวหนัง การทำหมันหญิงและชาย,,ยาที่เข้าสู่ร่างกายโดยวิธีการฉีด,intravenous injection,,
36,เตรียมรับมือ,เตรียมรับมือ,keep up with,V,,นาโต้ระดมทหารกองหนุน เพื่อเตรียมรับมือวิกฤตการณ์ที่อาจเกิดขึ้น,,เตรียมความพร้อมที่จะต่อสู้โดยเป็นฝ่ายรับ,,,
37,ที่พึ่งสุดท้าย,ที่พึ่งสุดท้าย,last resort,N,,เกษตรกรอยากจะมีธ.ก.ส. เป็นที่พึ่งสุดท้าย เพราะธ.ก.ส. เป็นสถาบันการเงินที่ไม่ต้องใช้หลักทรัพย์,ที่พึ่งแรก,,,,
38,มากยิ่งขึ้น,มากยิ่งขึ้น,more and more,ADV,,ด้วยเทคโนโลยีที่ล้ำหน้าของซีดีนี้เอง ทำให้คุณได้รับอรรถรสแห่งเสียงเพลงที่มีคุณภาพมากยิ่งขึ้น,"ลดน้อยลง, ลดลง",มากขึ้นกว่าเดิม,,,
39,รถจักรยานยนต์,รถจักรยานยนต์,motorcycle,N,"รถเครื่อง, จักรยานยนต์, รถมอเตอร์ไซค์, มอเตอร์ไซค์",จอมกระโดดซ้อนท้ายรถจักรยานยนต์ควบหายไปต่อหน้าต่อตาผม,,รถจักรยานที่มีเครื่องยนต์,,คัน,
40,รายได้สุทธิ,รายได้สุทธิ,net income,N,,"แต่ละเดือนๆ ครอบครัวเรามีรายได้สุทธิ 30,000 บาท",,รายได้หลังจากหักค่าใช้จ่าย หรือรายได้หลังจากหักค่าภาษี และค่าธรรมเนียมต่างๆ แล้ว,,บาท,
41,ในนามของ,ในนามของ,on behalf of,ADV,,ผมโอนเงินเข้าบัญชีกระแสรายวันในนามของบริษัทล็อกซเล่ย์จำกัด(มหาชน),,,,,
42,ในอีกกรณีหนึ่ง,ในอีกกรณีหนึ่ง,on the other hand,DET,อีกกรณีหนึ่ง,,,,,,
43,ยากิน,ยากิน,oral drug,N,"ยาใช้ภายใน, ยารับประทาน",ในย่านวัดโพธิ์-ท่าเตียนถือเป็นแหล่งรวมยาแผนโบราณจำพวกสมุนไพรไทย ทั้งยาน้ำ ยาเม็ด ยากินและยาทา,ยาทา,ยาที่เข้าสู่ร่างกายโดยการรับประทาน,oral medicine,,
44,นอกราชอาณาจักร,นอกราชอาณาจักร,outside the Kingdom,N,,การนำโบราณวัตถุ ศิลปวัตถุออกนอกราชอาณาจักร จะต้องได้รับอนุมัติจากอธิบดีกรมศิลปากรก่อน,ในราชอาณาจักร,ภายนอกรัฐที่มีพระมหากษัตริย์เป็นประมุข,,,
45,นอกขอบเขต,นอกขอบเขต,outside the scope of,N,,การกระทำของคุณตอนนี้อยู่นอกขอบเขตแล้วนะ,"ในขอบเขต, ภายในขอบเขต",ออกนอกบริเวณที่กำหนดไว้,,,
46,ผู้มีอำนาจตามกฎหมาย,ผู้มีอำนาจตามกฎหมาย,person in authority,N,,พนักงานเหล่านี้ล้วนเป็นผู้มีอำนาจตามกฎหมาย,,ผู้ที่มีสิทธิตามที่กฎหมายกำหนด,,คน,
47,เศรษฐศาสตร์การเมือง,เศรษฐศาสตร์การเมือง,political economy,N,,หนังสือเล่มนี้กล่าวถึงเศรษฐศาสตร์การเมือง ทฤษฎีการเมือง การเมือง และรัฐบาลของอังกฤษ,,,,,
48,อุดมการณ์ทางการเมือง,อุดมการณ์ทางการเมือง,political ideology,N,,,,แนวความคิดทางการเมืองที่มีความสำคัญต่อกลุ่มชน และกลุ่มชนยึดถือร่วมกัน,,,
49,สถาบันทางการเมือง,สถาบันทางการเมือง,political institution,N,,คณะผู้วิจัยคาดว่ากิจกรรมนี้จะเป็นประโยชน์ต่อสถาบันครอบครัว สถาบันทางการเมือง ประเทศชาติ และผู้ที่เกี่ยวข้อง,,สิ่งซึ่งคนในส่วนรวม คือ สังคม จัดตั้งให้มีขึ้น อันเกี่ยวข้องกับการเมือง,,แห่ง,
50,เสรีภาพทางการเมือง,เสรีภาพทางการเมือง,political liberty,N,,,,ความสามารถของบุคคลที่จะกระทำกิจกรรมที่เกี่ยวข้องกับการเมือง,,,
51,รัฐศาสตร์,รัฐศาสตร์,political science,N,วิชารัฐศาสตร์,การศึกษารัฐศาสตร์ตามแนวใหม่เน้นการศึกษาปรากฏการณ์ทางการเมืองที่เป็นจริง,,วิชาว่าด้วยการเมืองและการปกครองประเทศ ตลอดจนความสัมพันธ์ระหว่างประเทศ,,,
52,อ้างคำพูด,อ้างคำพูด,quote,V,,แหล่งข่าวอ้างคำพูดของนายทหารระดับสูงที่เกี่ยวข้องกับโครงการนี้,,กล่าวถึงคำพูดที่พูดออกไป,,,
53,เรียกค่าเสียหาย,เรียกค่าเสียหาย,recover damage,V,เรียกร้องค่าเสียหาย,การกระทำเช่นนี้ ทายาทของบริษัทมีสิทธิ์เรียกค่าเสียหายฐานละเมิดลิขสิทธิ์ได้สบายๆ,"จ่ายค่าเสียหาย, ชดใช้ค่าเสียหาย",,,,
54,รากศัพท์,รากศัพท์,root,N,,”ภาษา” เป็นคำที่มาจากรากศัพท์ “ภาษ” แปลว่าพูด,,รูปเดิมของคำที่ยังไม่ได้เติมอุปสรรคและลงปัจจัยหรือที่ยังไม่ได้เปลี่ยนรูปไปด้วยประการอื่น,,คำ,
55,บาดเจ็บสาหัส,บาดเจ็บสาหัส,seriously injured,V,,นายตำรวจสองคนยิงเจ้าพ่อคนใหม่ได้รับบาดเจ็บสาหัส,,มีบาดแผลทำให้เจ็บปวดอย่างรุนแรง,,,
56,ยานอนหลับ,ยานอนหลับ,sleeping pill,N,,ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา,,ยาที่มีฤทธิ์กดประสาททำใหหลับ,hypnotics; hypnotic drug; sedative; tranquilizer; antidepressant,,
57,หน่วยงานรัฐ,หน่วยงานรัฐ,state agency,N,หน่วยงานราชการ,หน่วยงานรัฐหลายหน่วยงานได้ยื่นมือเข้าร่วมกระบวนการนี้แล้ว,หน่วยงานเอกชน,,,หน่วยงาน,
58,ยาทา,ยาทา,vanishing cream,N,ยาใช้ภายนอก,สารก่อภูมิแพ้ที่เป็นสิ่งที่สัมผัสกับร่างกาย ได้แก่ เครื่องประดับ เครื่องสำอาง เครื่องนุ่งห่ม ยาทา เป็นต้น,ยากิน,ยาที่เข้าสู่ร่างกายโดยการทาบริเวณภายนอก,unguent; warpaint; rouge,,
59,คมเข้ม,คมเข้ม,piercing,ADJ,คมคาย,คนภาคใต้มีผิวคล้ำหรือดำแดงเป็นส่วนใหญ่และมีนัยน์ตาคมเข้มส่อแววเหมือนคนดุ,,หน้าตาคมคาย,,,
60,ครองสติ,ครองสติ,remain conscious,V,"คงสติ, คุมสติ, มีสติ, ตั้งสติ",เขาครองสติของเขาไว้ได้ระหว่างฉุกเฉิน,,,keep quiet,,
61,ครอบครัวเดี่ยว,ครอบครัวเดี่ยว,single family,N,,ครอบครัวของคนในสังคมเมืองหลวงมีขนาดที่เล็กลงกลายเป็นครอบครัวเดี่ยวซึ่งประกอบด้วยสามีภรรยาและบุตรเท่านั้นเนื่องจากสภาพในสังคมที่เปลี่ยนไป,"ครอบครัวใหญ่, ครอบครัวขยาย",ครอบครัวขนาดเล็กประกอบด้วยพ่อแม่ลูก,,,
62,คราคร่ำ,คราคร่ำ,be crowded with,V,เนืองแน่น,สถานีรถไฟคราคร่ำไปด้วยผู้คน,,,be packed with,,
63,ความโก้หรู,ความโก้หรู,luxury,N,"ความภูมิฐาน, ความหรูหรา",ยี่ห้อของรถยนต์แสดงสถานภาพของความโก้หรูของคนในสังคม,,,profuseness; lavishness; extravagance,,
64,ความใกล้ชิด,ความใกล้ชิด,closeness,N,ความสนิทสนม,โดยทั่วไปเด็กจะมีความใกล้ชิดกับแม่มากกว่าพ่อแม่จึงมีอิทธิพลโน้มน้าวจิตใจเด็กได้มากกว่า,ความห่างเหิน,,acquaintance; proximity,,
65,ความเข้มแข็ง,ความเข้มแข็ง,strength,N,"ความแข็งแรง, ความแข็งแกร่ง",การเคลื่อนไหวต่อต้านอย่างแข็งขันขององค์กรเอกชนสะท้อนให้เห็นความเข้มแข็งของกลุ่มพลังประชาธิปไตยในสังคมไทยที่จะแสดงบทบาททางการเมือง,ความอ่อนแอ,,force; power,,
66,ความเด่นดัง,ความเด่นดัง,fame,N,"ความเด่น, ความดัง",ดาราบางคนจัดกิจกรรมเพื่อผู้ด้อยโอกาสเป็นแล้วออกข่าวเผยแพร่ค่อนข้างใหญ่โตก็มีจุดประสงค์เพื่อความเด่นดังของตนเอง,,,greatness; known; distinction; popularity; eminence; reputation,,
67,ความนัย,ความนัย,implication,N,ความหมาย,ถ้อยโต้ตอบเหล่านี้มีความนัยซ่อนเร้นอยู่,,,meaning,,
68,ความเป็นไป,ความเป็นไป,possibility,N,,กระแสเสียงแห่งความแคลงใจต่อความเป็นไปของเหตุการณ์นี้ยังมีที่ค้างคาอยู่ในจิตใจของประชาชน,,,plausibility; feasibility,,
69,ความพอดี,ความพอดี,sufficiency,N,"ความพอประมาณ, ความเหมาะสม, ความพอเหมาะ",การที่พื้นดินเป็นพิษเพราะการใช้ยาปราบศัตรูพืชเกินความพอดี,,,adequacy,,
70,ความเรียบง่าย,ความเรียบง่าย,simplicity,N,,พิพิธภัณฑ์ในภาคอีสานเน้นความเรียบง่ายแต่มีความหมายต่อชุมชนโดยพิพิธภัณฑ์ประเภทนี้จะมีลักษณะไม่หรูหรา โอ่โถง และไม่จำเป็นต้องมีพื้นที่กว้างขวางใหญ่โต,"ความหรูหรา, ความฉูดฉาด","ไม่ฉูดฉาด, ไม่หรูหรา",easiness; no luxury,,
71,ความสำคัญ,ความสำคัญ,importance,N,จุดสำคัญ,จุดมุ่งหมายในการสร้างทางรถไฟนั้นต้องมีการพิจารณาถึงประโยชน์และความสำคัญในด้านการคมนาคม การขนส่งและการเศรษฐกิจ,,,emphasis; significance,,
72,ความสุภาพ,ความสุภาพ,gentleness,N,"ความอ่อนโยน, ความเรียบร้อย",คนไทยเราใช้การไหว้เพื่อแสดงการทักทาย แสดงความเคารพและแสดงความสุภาพ,,,tenderness,,
73,ความหลากหลาย,ความหลากหลาย,variety,N,,ความหลากหลายของพืชพันธ์ที่นำมาปลูกทำให้ดินเกิดสภาพสมดุลขึ้นมาได้,,มีหลายอย่างต่างๆ กัน,diversity; miscellany,,
74,ความหวาน,ความหวาน,sweetness,N,,นมข้นหวานก็เป็นนมที่มีความหวานมากเกินไปไม่เหมาะสำหรับเด็ก,,มีรสเหมือนรสน้ำตาล,lusciousness,,
75,ความเห็นแก่ได้,ความเห็นแก่ได้,exploitation,N,ความเห็นแก่ตัว,ความเห็นแก่ได้ของผู้ประกอบการและความประมาทของคนงานทำให้เกิดอุบัติเหตุเช่นนี้,,การมุ่งเอาแต่ประโยชน์ส่วนตัว,profit; benefit; advantage; selfishness,,
76,ความเห็นแก่ตัว,ความเห็นแก่ตัว,selfishness,N,ความเห็นแก่ได้,ความเห็นแก่ตัวเป็นสาเหตุแห่งความชั่วทั้งมวล,,การมุ่งเอาแต่ประโยชน์ส่วนตัว,exploitation; utilization,,
77,ความเหลื่อมล้ำ,ความเหลื่อมล้ำ,difference,N,ความแตกต่าง,ในปัจจุบันประเทศไทยยังมีปัญหาความเหลื่อมล้ำในการกระจายรายได้อยู่มาก,"ความเท่าเทียม, ความเสมอภาค",ความไม่เท่าเทียมกัน,not equality,,
78,ความอบอุ่น,ความอบอุ่น,warmth,N,,นักจิตวิทยาส่วนใหญ่ศึกษาพบว่าเด็กที่ขาดความอบอุ่นใกล้ชิดจากมารดาในตอนเริ่มต้นชีวิตจะมีความบกพร่องหลายอย่างเกิดขึ้นทางด้านจิตใจ,ความว้าเหว่,,proximity; closeness,,
79,ความอบอุ่น,ความอบอุ่น,warmth,N,,ชาวบ้านเอากิ่งไม้แห้งมาก่อไฟให้เกิดความอบอุ่น,,ความอุ่นสบายของอากาศ,heat,,
80,ความอ่อนแอ,ความอ่อนแอ,weakness,N,,เธอใช้หลังมือป้ายน้ำตาก่อนที่มันจะไหลออกมาประจานความอ่อนแอในใจของเธอ,ความเข้มแข็ง,ไม่เข้มแข็ง,frailty; infirmity; debility,,
81,ความอ่อนแอ,ความอ่อนแอ,weakness,N,,ผู้ที่เริ่มเข้าสู่วัยชราจะประสบปัญหาหลายประการในการดำรงชีวิตเช่น ปัญหาในด้านความเชื่องช้าและความอ่อนแอของร่างกายและปัญหาเรื่องสายตา,ความแข็งแรง,ไม่แข็งแรง,failure; defect; failing; debility; frailty,,
82,ค่าโทรศัพท์,ค่าโทรศัพท์,telephone bill,N,,ธนาคารให้บริการชำระค่าไฟฟ้า ค่าน้ำประปา ค่าโทรศัพท์ค่าภาษีและค่าธรรมเนียมให้แก่ส่วนราชการและองค์การต่างๆ,,ค่าใช้จ่ายในการใช้โทรศัพท์,telephone charge; telephone statement,,
83,ค่าไฟฟ้า,ค่าไฟฟ้า,electricity bill,N,ค่าไฟ,การใช้เครื่องไฟฟ้าที่ประหยัดไฟจะช่วยประหยัดค่าไฟฟ้าและประหยัดพลังงานได้มาก,,ค่าใช้จ่ายในการใช้ไฟฟ้า,electricity charge; electricity record,,
84,คำขอโทษ,คำขอโทษ,excuse,N,,การกล่าวคำขอโทษคงจะไม่เพียงพอต่อความผิดครั้งนี้,,"ขอให้ยกเว้นโทษ, ใช้เป็นคำสุภาพเมื่อรู้สึกว่าจะเป็นการล่วงเกินหรือต่ำสูงต่อผู้อื่น",pardon,,
85,คำขอบคุณ,คำขอบคุณ,thank,N,,พิธีกรกล่าวคำขอบคุณผู้ชมที่มาร่วมงานในวันนี้,,คำกล่าวแสดงความรู้สึกบุญคุณ,gratefulness; recognition,,
86,คำขานรับ,คำขานรับ,answer,N,คำตอบรับ,ความกล้าหาญชาญชัยของรัฐบาลได้รับคำขานรับและต่อต้านระคนกันไป,,,reply,,
87,คำครหา,คำครหา,rumor,N,"คำติเตียน, ข้อครหา, เสียงครหา",กระบวนการสรรหาผู้สมัครของพรรคทำให้มีคำครหากันว่ามีการเล่นพรรคเล่นพวกกันเกิดขึ้น,,,hearsay; gossip,,
88,ภาษีเงินได้,ภาษีเงินได้,income tax,N,ภาษีรายได้,ผู้มีรายได้มากจากการประกอบอาชีพต้องเสียภาษีเงินได้,,ภาษีที่เรียกเก็บจากบุคคลที่ได้รับเงิน ทรัพย์สิน หรือประโยชน์อย่างอื่น ซึ่งอาจคิดคำนวณได้เป็นเงิน,,,(กฎหมาย)
89,ภาษีบำรุงท้องที่,ภาษีบำรุงท้องที่,local maintenance tax,N,,เจ้าของที่ดินจะต้องเสียภาษีบำรุงท้องที่ทุกปี,,ภาษีซึ่งบุคคลธรรมดา หรือนิติบุคคลซึ่งมีกรรมสิทธิ์ในที่ดิน หรือครอบครองอยู่ในที่ดินที่ไม่เป็นกรรมสิทธิ์ของเอกชน มีหน้าที่ต้องเสียเป็นรายปีจากราคาปานกลางของที่ดินตามที่ทางราชการได้ประกาศกำหนดไว้,,,(กฎหมาย)
90,ภาษีมรดก,ภาษีมรดก,death tax,N,,,,ภาษีส่วนบุคคลที่เก็บจากทรัพย์ หรือเป็นการเก็บจากบุคคลที่ได้รับมรดกหรือทายาท โดยคิดคำนวณจากกองทรัพย์มรดกทั้งหมด หรือส่วนแบ่งทั้งหมดของกองมรดกที่ตกทอดจากผู้ตายไปยังผู้รับมรดก หรือทายาท,death duty,,(กฎหมาย)
91,ภาษีมูลค่าเพิ่ม,ภาษีมูลค่าเพิ่ม,value added tax,N,,เจ้าของร้านค้าต้องเสียภาษีมูลค่าเพิ่มร้อยละ 7,,ภาษีทางอ้อมประเภทหนึ่งที่เรียกเก็บจากบุคคลที่ซื้อสินค้าหรือรับบริการ โดยจัดเก็บเฉพาะจากมูลค่าส่วนที่เพิ่มขึ้นในแต่ละขั้นตอนของการผลิต การจำหน่ายหรือการให้บริการ,VAT,,(กฎหมาย)
92,ภาษีรายได้,ภาษีรายได้,income tax,N,ภาษีเงินได้,,,ภาษีที่เรียกเก็บจากบุคคลที่ได้รับเงิน ทรัพย์สิน หรือประโยชน์อย่างอื่น ซึ่งอาจคิดคำนวณได้เป็นเงิน,,,(กฎหมาย)
93,ภาษีโรงเรือนและที่ดิน,ภาษีโรงเรือนและที่ดิน,property tax,N,,ทุกๆ ปี ดิฉันได้ยื่นเสียภาษีโรงเรือนและที่ดิน โดยเสียภาษีประมาณปีละ 2-3 พันบาท,,ภาษีที่เรียกเก็บจากผู้รับประเมิน ผู้มีกรรมสิทธิ์ในที่ดินโรงเรือน หรือสิ่งปลูกสร้างอย่างอื่นปีละครั้งตามค่ารายปีของทรัพย์สินนั้น,house and land tax,,(กฎหมาย)
94,ภาษีศุลกากร,ภาษีศุลกากร,tariff,N,,,,ภาษีที่เรียกเก็บจากสินค้าเข้าและสินค้าออก ได้แก่ อากรขาเข้าและอากรขาออก,customs duty,,
